"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento демонстрационный магазин. Все права защищены."
"(ver. %s)","(вер. %s)"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Right Column","Skip to Right Column"
"Skip to Main Content","Пропустить"
"Previous Page","Предыдущая страница:"
"Show","Показать"
"Help Us to Keep Magento Healthy","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Redirecting...","Перенаправление..."
"Click <a href=""%s"">here</a> if nothing has happened","Нажмите <a href=""%s"">сюда</a>, если ничего не произошло"
"Items %s to %s of %s total","С %s до %s из %s"
"Page:","Страница:"
"Default Description","Стандартное описание"
"Default welcome msg!","Стандартное приветствие!"
"Next Page","Следующая страница"
"Report All Bugs","Сообщайте обо всех ошибках"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Any orders placed through this store will not be honored or fulfilled."
"Interface Language","Язык интерфейса"
"per page","на страницу"
"Close Window","Закрыть окно"
"Select Store","Выберите магазин"
"Your Language","Ваш язык"
"Your Language:","Ваш язык:"
"Your Language:","Ваш язык:"
"You're currently on:","Ваша валюта:"
"Welcome, %s!","Добро пожаловать, %s!"
