"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"Apply","Apply"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Catalog","Catalog"
"Conditions","Conditions"
"Customer Groups","Customer Groups"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Expire at: %s","Expire at: %s"
"Free shipping","Free shipping"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"Name: %s","Name: %s"
"New Rule","New Rule"
"No","No"
"NOT LOGGED IN","NOT LOGGED IN"
"Payment Method","Payment Method"
"Priority","Priority"
"Products subselection","Products subselection"
"Promotions","Promotions"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Save Rule","Save Rule"
"Shipping Method","Shipping Method"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Start at: %s","Start at: %s"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Unable to find a page to delete","Unable to find a page to delete"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
"Yes","Yes"
"To Fixed Amount","К фиксированной сумме"
"To Percentage of the original price","К проценту от первоначальной цены"
"Buy X get Y free (discount amount is Y)","Купи X получи Y бесплатно (сумма скидки Y)"
"Coupon code","Код сертификата"
"Coupon Code","Код сертификата"
"Quantity in cart","Количество в корзине"
"Row total in cart","Количество позиций в корзине"
"Conditions combination","Комбинация условий"
"Product attribute combination","Комбинация атрибутов продукта"
"Apply to","Применить к"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Применить правило только для товаров в корзине, удовлетворяющим следующим условиям (оставьте пустым для всех товаров)"
"Apply the rule to cart items matching the following conditions","Применить правило к товарам в корзине, соответствующим следующим условиям"
"Apply the rule only if the following conditions are met (leave blank for all products)","Применить правило, только если выполняются следующие условия (оставьте пустым для всех товаров)"
"Total Weight","Общий вес"
"Total Items Quantity","Общее количество товаров"
"Update prices using the following information","Обновить цены, используя следующую информацию"
"Public In RSS Feed","Опубликовать в RSS потоке"
"Cart Attribute","Атрибут корзины"
"By Fixed Amount","На фиксированную сумму"
"By Percentage of the original price","На процент от первоначальной цены"
"Discount amount","Размер скидки"
"Shipping Region","Регион доставки"
"Shipping Country","Страна доставки"
"Percent of product price discount","Скидка в процентах от цены продукта"
"Special price","Специальная цена"
"For matching items only","Только для соответствующих товаров"
"Fixed amount discount","Фиксированная сумма скидки"
"Fixed amount discount for whole cart","Фиксированная сумма скидки на всю корзину"
"Price in cart","Цена в корзине"
"Shopping Cart Price Rules","Ценовые правила для корзины"
"Shipping State/Province","Штат/район доставки"
"Discount Qty Step (Buy X)","Шаг количества для скидки (купить X)"
"Maximum Qty Discount is Applied to","Максимальное количество скидки применяется к"
"Uses per customer","Использований пользователями"
"Uses per coupon","Изспользований с сертификатом"
"Shipping Postcode","Индекс доставки"
"For shipment with matching items","Для доставки с соответствующими товарами"
