"Allow for Guests","Allow for Guests"
"Email Address","Email адрес"
"Email Address:","Email адрес:"
"Email:","Email:"
"Send product to a friend","Send product to a friend"
"Some emails was not sent","Some emails was not sent"
"Some problems with data.","Some problems with data."
"You cannot email this product to a friend","You cannot email this product to a friend"
"You cannot send more than %d times in an hour","You cannot send more than %d times in an hour"
"Recipient:","Получатель:"
"Send email","Отправить email"
"Email to a Friend","Отправить другу"
"Sender:","Отправитель:"
"Limit Sending By","Ограничить отправку до"
"Link to a friend was sent.","Ссылка отправлена другу"
"Message:","Сообщение:"
"Remove Email","Удалить Email"
"Email templates","Шаблоны Email"
"Maximum %d email addresses allowed.","Макс %d кол-во email адресов."
"Max Products Sent in 1 Hour","Макс. Кол-во продуктов отправляемых за 1 час"
"Max Recipients","Макс. Кол-во получателей"
"Name","Имя"
"Name:","Имя:"
"Select email template","Выбрать email шаблон"
"Enabled","Включено"
"Add Recipient","Добавить получателя"
